ticker,date,open,high,low,close,volume,adj_close,created_at
LLOY.L,2024-02-06,42.105,42.37,41.62,41.88,666773634,41.88,2025-06-23 12:50:13.024
LLOY.L,2024-02-07,41.83,42.185,41.49,41.58,131726564,41.58,2025-06-23 12:50:13.025
LLOY.L,2024-02-08,41.58,42.015,41.429,41.515,69825516,41.515,2025-06-23 12:50:13.026
LLOY.L,2024-02-09,41.405,41.705,41.23,41.4,233075851,41.4,2025-06-23 12:50:13.027
LLOY.L,2024-02-12,41.645,41.92,41.185,41.4,163174147,41.4,2025-06-23 12:50:13.029
LLOY.L,2024-02-13,41.23,41.87,41.0,41.185,141459585,41.185,2025-06-23 12:50:13.03
LLOY.L,2024-02-14,41.09,41.765,41.09,41.44,207374101,41.44,2025-06-23 12:50:13.031
LLOY.L,2024-02-15,41.685,41.73,41.05,41.58,139218909,41.58,2025-06-23 12:50:13.032
LLOY.L,2024-02-16,41.67,43.315,41.275,43.2,249754009,43.2,2025-06-23 12:50:13.034
LLOY.L,2024-02-19,43.305,43.44,42.635,42.88,74502420,42.88,2025-06-23 12:50:13.035
LLOY.L,2024-02-20,42.815,43.756,42.77,43.65,138030229,43.65,2025-06-23 12:50:13.036
LLOY.L,2024-02-21,43.785,43.933,43.08,43.29,202506236,43.29,2025-06-23 12:50:13.037
LLOY.L,2024-02-22,43.0,46.205,42.365,45.955,565618186,45.955,2025-06-23 12:50:13.038
LLOY.L,2024-02-23,45.99,46.2,45.385,45.495,208409892,45.495,2025-06-23 12:50:13.04
LLOY.L,2024-02-26,45.485,46.195,45.485,45.915,269141007,45.915,2025-06-23 12:50:13.041
LLOY.L,2024-02-27,45.56,46.525,45.495,46.31,205541890,46.31,2025-06-23 12:50:13.042
LLOY.L,2024-02-28,46.215,46.751,46.215,46.575,229599208,46.575,2025-06-23 12:50:13.044
LLOY.L,2024-02-29,46.575,47.505,46.543,46.57,467442708,46.57,2025-06-23 12:50:13.045
LLOY.L,2024-03-01,47.02,47.75,47.02,47.37,207501949,47.37,2025-06-23 12:50:13.046
LLOY.L,2024-03-04,47.04,47.63,46.9,47.395,344381130,47.395,2025-06-23 12:50:13.048
LLOY.L,2024-03-05,47.155,47.953,46.955,47.8,148437130,47.8,2025-06-23 12:50:13.049
LLOY.L,2024-03-06,47.975,48.59,47.898,48.4,311140311,48.4,2025-06-23 12:50:13.05
LLOY.L,2024-03-07,48.555,49.05,48.27,48.605,225634715,48.605,2025-06-23 12:50:13.051
LLOY.L,2024-03-08,48.71,49.075,48.34,48.555,149173020,48.555,2025-06-23 12:50:13.052
LLOY.L,2024-03-11,48.425,49.13,48.26,49.05,154132465,49.05,2025-06-23 12:50:13.054
LLOY.L,2024-03-12,49.36,50.02,49.105,49.55,212228896,49.55,2025-06-23 12:50:13.055
LLOY.L,2024-03-13,49.675,50.01,48.95,49.255,246059054,49.255,2025-06-23 12:50:13.056
LLOY.L,2024-03-14,49.2,49.62,48.955,49.33,145097694,49.33,2025-06-23 12:50:13.057
LLOY.L,2024-03-15,49.14,49.924,49.14,49.57,350528629,49.57,2025-06-23 12:50:13.059
LLOY.L,2024-03-18,49.395,49.7,49.129,49.39,119224181,49.39,2025-06-23 12:50:13.06
LLOY.L,2024-03-19,49.2,49.6,48.795,49.545,126334621,49.545,2025-06-23 12:50:13.061
LLOY.L,2024-03-20,49.54,50.23,49.48,50.04,134881078,50.04,2025-06-23 12:50:13.062
LLOY.L,2024-03-21,51.11,51.89,50.64,51.49,184094142,51.49,2025-06-23 12:50:13.063
LLOY.L,2024-03-22,51.77,52.67,51.43,52.18,162388748,52.18,2025-06-23 12:50:13.065
LLOY.L,2024-03-25,52.0,52.25,51.67,51.73,237240308,51.73,2025-06-23 12:50:13.066
LLOY.L,2024-03-26,51.53,52.11,51.49,51.61,260161808,51.61,2025-06-23 12:50:13.067
LLOY.L,2024-03-27,51.46,52.26,51.344,51.67,211685995,51.67,2025-06-23 12:50:13.068
LLOY.L,2024-03-28,52.23,52.54,51.57,51.76,248468932,51.76,2025-06-23 12:50:13.069
LLOY.L,2024-04-02,51.32,52.4,51.32,51.96,174801073,51.96,2025-06-23 12:50:13.071
LLOY.L,2024-04-03,51.56,52.48,51.56,52.38,145222987,52.38,2025-06-23 12:50:13.072
LLOY.L,2024-04-04,52.82,54.12,52.5,53.96,177550360,53.96,2025-06-23 12:50:13.073
LLOY.L,2024-04-05,53.4,53.738,52.88,53.32,121464585,53.32,2025-06-23 12:50:13.074
