setup_id,setup_date,stock_ticker,day_number,trading_date,stock_price,benchmark_price,stock_return_day,benchmark_return_day,outperformance_day,stock_return_cumulative,benchmark_return_cumulative,outperformance_cumulative,is_outperforming_day,benchmark_ticker,calculation_date
KZG_2024-11-08,2024-11-08,KZG.L,1,2024-11-11,1.24,737.93,10.222223,0.48613858,9.736085,10.222223,0.48613858,9.736085,true,^FTAI,2025-06-26 02:00:10.772
KZG_2024-11-08,2024-11-08,KZG.L,2,2024-11-12,1.25,730.86,0.80645084,-0.95808643,1.7645373,11.111111,-0.47660547,11.587717,true,^FTAI,2025-06-26 02:00:10.777
KZG_2024-11-08,2024-11-08,KZG.L,3,2024-11-13,1.175,729.29,-6.000004,-0.21481644,-5.7851872,4.4444404,-0.6903981,5.134838,false,^FTAI,2025-06-26 02:00:10.779
KZG_2024-11-08,2024-11-08,KZG.L,4,2024-11-14,1.1,729.38,-6.3829727,0.012344453,-6.3953176,-2.2222202,-0.67813885,-1.5440812,false,^FTAI,2025-06-26 02:00:10.78
KZG_2024-11-08,2024-11-08,KZG.L,5,2024-11-15,1.2,727.14,9.090911,-0.30710882,9.39802,6.666671,-0.983165,7.649836,true,^FTAI,2025-06-26 02:00:10.782
KZG_2024-11-08,2024-11-08,KZG.L,6,2024-11-18,1.125,727.55,-6.250004,0.056381594,-6.3063855,0.0,-0.92733777,0.92733777,false,^FTAI,2025-06-26 02:00:10.783
KZG_2024-11-08,2024-11-08,KZG.L,7,2024-11-19,1.125,724.23,0.0,-0.45632705,0.45632705,0.0,-1.3794332,1.3794332,true,^FTAI,2025-06-26 02:00:10.785
KZG_2024-11-08,2024-11-08,KZG.L,8,2024-11-20,1.225,722.34,8.888891,-0.26096043,9.149852,8.888891,-1.6367937,10.525684,true,^FTAI,2025-06-26 02:00:10.786
KZG_2024-11-08,2024-11-08,KZG.L,9,2024-11-21,1.2,725.82,-2.0408144,0.48176485,-2.5225792,6.666671,-1.1629144,7.829585,false,^FTAI,2025-06-26 02:00:10.788
KZG_2024-11-08,2024-11-08,KZG.L,10,2024-11-22,1.2,732.2,0.0,0.8790065,-0.8790065,6.666671,-0.29413003,6.960801,false,^FTAI,2025-06-26 02:00:10.789
KZG_2025-05-07,2025-05-07,KZG.L,1,2025-05-08,1.9,720.42,-2.5641062,1.0038377,-3.5679438,-2.5641062,1.0038377,-3.5679438,false,^FTAI,2025-06-26 02:01:09.934
KZG_2025-05-07,2025-05-07,KZG.L,2,2025-05-09,2.16,726.91,13.6842165,0.90086204,12.783355,10.769233,1.913743,8.85549,true,^FTAI,2025-06-26 02:01:09.939
KZG_2025-05-07,2025-05-07,KZG.L,3,2025-05-12,2.15,729.3,-0.4629625,0.32879102,-0.79175353,10.2564125,2.2488263,8.0075865,false,^FTAI,2025-06-26 02:01:09.941
KZG_2025-05-07,2025-05-07,KZG.L,4,2025-05-13,2.05,731.09,-4.6511693,0.24544619,-4.8966155,5.1282,2.499792,2.628408,false,^FTAI,2025-06-26 02:01:09.942
KZG_2025-05-07,2025-05-07,KZG.L,5,2025-05-14,2.05,731.62,0.0,0.07249015,-0.07249015,5.1282,2.5740943,2.5541058,false,^FTAI,2025-06-26 02:01:09.944
KZG_2025-05-07,2025-05-07,KZG.L,6,2025-05-15,2.05,731.85,0.0,0.031434417,-0.031434417,5.1282,2.6063378,2.5218623,false,^FTAI,2025-06-26 02:01:09.946
KZG_2025-05-07,2025-05-07,KZG.L,7,2025-05-16,2.05,734.73,0.0,0.39352393,-0.39352393,5.1282,3.0101185,2.1180818,false,^FTAI,2025-06-26 02:01:09.948
KZG_2025-05-07,2025-05-07,KZG.L,8,2025-05-19,1.8,733.56,-12.195122,-0.15923984,-12.035882,-7.6923122,2.8460853,-10.538398,false,^FTAI,2025-06-26 02:01:09.95
KZG_2025-05-07,2025-05-07,KZG.L,9,2025-05-20,1.725,737.58,-4.1666627,0.5480151,-4.714678,-11.538463,3.4096973,-14.94816,false,^FTAI,2025-06-26 02:01:09.951
KZG_2025-05-07,2025-05-07,KZG.L,10,2025-05-21,1.7,737.2,-1.449274,-0.051520497,-1.3977535,-12.820513,3.35642,-16.176933,false,^FTAI,2025-06-26 02:01:09.953
LGEN_2024-06-24,2024-06-24,LGEN.L,1,2024-06-25,229.00029,768.03,-0.52083546,-0.4961983,-0.024637183,-0.52083546,-0.4961983,-0.024637183,false,^FTAI,2025-06-26 03:07:00.877
LGEN_2024-06-24,2024-06-24,LGEN.L,2,2024-06-26,227.30177,765.92,-0.7417095,-0.27473488,-0.4669746,-1.2586819,-0.76956993,-0.48911193,false,^FTAI,2025-06-26 03:07:00.88
LGEN_2024-06-24,2024-06-24,LGEN.L,3,2024-06-27,226.10283,764.47,-0.52746797,-0.1893164,-0.33815157,-1.7795107,-0.9574294,-0.82208127,false,^FTAI,2025-06-26 03:07:00.882
LGEN_2024-06-24,2024-06-24,LGEN.L,4,2024-06-28,226.80222,764.38,0.30932236,-0.011768391,0.32109076,-1.4756927,-0.96908516,-0.50660765,true,^FTAI,2025-06-26 03:07:00.884
LGEN_2024-06-24,2024-06-24,LGEN.L,5,2024-07-01,228.70055,765.18,0.8369983,0.10465839,0.7323399,-0.651046,-0.86544096,0.21439499,true,^FTAI,2025-06-26 03:07:00.885
LGEN_2024-06-24,2024-06-24,LGEN.L,6,2024-07-02,226.60239,764.37,-0.91742665,-0.10585713,-0.8115695,-1.5624998,-0.970382,-0.5921178,false,^FTAI,2025-06-26 03:07:00.887
